scene_id,book,chapter_index,chapter_heading,scene_index_in_chapter,word_count,source_file,source_hash,opening_line,closing_line,pov_candidate,story_time_candidate,explicit_time_markers,location_candidate,present_characters_candidate,scene_goal_candidate,opposition_candidate,turn_candidate,outcome_candidate,major_events_candidate,knowledge_gained_candidate,belief_changes_candidate,relationship_changes_candidate,objects_transferred_candidate,promises_introduced_candidate,promises_advanced_candidate,promises_paid_off_candidate,review_status,notes
B03-C17-S01,Book 3,17,Chapter 17,1,406,series/books/book-3/phase-8-editing/MANUSCRIPT.md,0a91c515b9054ef5b47cf91f5dba2d09cf100d82d681fa12d18e1ea7e2222f0f,**Margot**,"""Lead the way, Commander,"" Aleksei said, checking his reflection in a chrome pipe and grimacing. ""I need to find a sink. And possibly a flamethrower.""",Jonah Harrow,,,Council-controlled streets and detention perimeter,Jonah Harrow; hostile forces; Kael,Delay pursuit and rejoin Margot.,"Kael's magic, reinforcements, Jonah's accumulated injuries.",Kael confronts Jonah directly and attempts to force surrender.,The personal antagonist conflict resumes.,Rear-guard combat; Kael appears; ideological exchange; duel begins.,Jonah learns Kael views the disappearances as necessary containment rather than crime.,Jonah abandons any remaining hope that Kael can be reasoned away from the Council.,Jonah's motivation centers on returning to Margot and the rescued people.,Weapons used; no confirmed transfer.,Resolve the Jonah–Kael conflict.,Kael antagonist and combat threads.,None.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C17-S02,Book 3,17,Chapter 17,2,440,series/books/book-3/phase-8-editing/MANUSCRIPT.md,ecd701e8f86aee63e0bce8445907448654a74dab0a8164906500923fbe22706a,The basement was a labyrinth of white corridors and humming machinery.,The doors opened.,Jonah Harrow,,,Detention perimeter,Jonah Harrow; Kael; hostile forces,Defeat Kael without being recaptured.,"Sterling magic, Jonah's wounds, hostile numbers.",Jonah exploits Kael's dependence on controlled magical structures.,"Kael is defeated, injured, or forced to retreat again.",Close combat; magical countermeasure; Kael loses tactical control.,Jonah learns Kael's magic is less effective when deprived of prepared channels or artifacts.,Jonah recognizes his hybrid tactical and wolf abilities as an advantage.,Margot's earlier analytical lessons influence Jonah's combat thinking.,Kael's focus object or weapon may be broken or seized.,Kael's final reckoning remains possible if he survives.,Antagonist-defeat thread.,The immediate duel receives a partial payoff.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C17-S03,Book 3,17,Chapter 17,3,473,series/books/book-3/phase-8-editing/MANUSCRIPT.md,aa347f96e1d13dc09a51428e6b024b6d8da2380650e3a504ec610f03d03f33cc,The Presidential Suite was a study in contrast.,"They were marched out of the suite, up the final flight of stairs to the roof.",Jonah Harrow,,,Escape route from detention perimeter,Jonah Harrow; Margot Vance; resistance allies,Rejoin Margot and get clear of the counterattack.,"Pursuit, Jonah's worsening injuries, collapsing route.",Margot returns or refuses to leave without Jonah.,They reunite and escape together.,Margot doubles back; Jonah found; pursuit evaded; emotional confrontation.,Jonah learns Margot will not accept his self-sacrifice as unilateral policy.,He begins confronting the damage caused by treating himself as expendable.,Their bond shifts toward mutual protection rather than one-way sacrifice.,Margot supports or carries Jonah; seized evidence retained.,Jonah must stop making unilateral sacrificial choices.,Relationship-growth and injury threads.,The promise to recover Jonah is fulfilled.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C17-S04,Book 3,17,Chapter 17,4,370,series/books/book-3/phase-8-editing/MANUSCRIPT.md,870782bf4392fcba044e406f6fe5bc5fc793ffbeb066745e6c662dee797e7835,The roof was a frozen hellscape.,Then it melted through.,Jonah Harrow,,,Resistance medical point,Jonah Harrow; Margot Vance; healers; rescued detainees,Stabilize Jonah and record witness testimony.,"Serious injuries, fear of another raid, fragmented testimony.",A rescued witness provides information about Sterling's final command site or plan.,The resistance gains a direct route to Sterling.,Medical treatment; witness debrief; command-site intelligence obtained.,The protagonists learn Sterling's likely location and next move.,"Margot sees the rescued survivors as active agents, not only victims.",Jonah accepts treatment under Margot's insistence.,Medical records and testimony notes created.,Strike Sterling before he can destroy remaining evidence or prisoners.,Final-antagonist and public-accountability threads.,The rescue produces actionable intelligence.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C17-S05,Book 3,17,Chapter 17,5,482,series/books/book-3/phase-8-editing/MANUSCRIPT.md,239dadd17f546771b36eeb10c5c6778f03126350089d987dd8892b82f85296dc,Ammonia and bleach don't explode like dynamite. They *erupt*.,"""Okay,"" she said. ""Let's go win it.""",Margot Vance,Immediately after the rooftop chemical attack,,Ski resort rooftop and stairwell,Margot Vance; Aleksei Petrov; Henderson; Magisterium troopers; Valerius; Jonah Harrow by radio,Destroy the Emitter and escape.,"Armed troopers, Valerius, unstable improvised chemical charge, and the suppression field.","The chemical blast destroys the Emitter, restoring supernatural power and communications.","Aleksei regains full vampire power, the Pack awakens, and Margot descends to continue the fight.",Improvised ammonia-bleach-magnesium charge destroys the tower; Aleksei overpowers troopers; Valerius retreats; Jonah reports he is shifting and coming for Margot.,The team confirms the suppression field is down and that the Pack is awake and free.,Margot shifts from sabotage leader to active wartime commander.,Margot and Jonah reconnect over clear radio; both move toward reunion in combat.,Margot retains Jonah's pistol; improvised chemical charge is expended; Emitter is destroyed.,The freed Pack will enter open war.,"Jonah's recovery, Pack liberation, and direct conflict with Valerius all advance.",The Emitter-destruction promise is paid off.,source-reconciled-v1.1,Restored from parser scene B03-C17-S05 and checked directly against the Phase 8 manuscript.
B03-C18-S01,Book 3,18,Chapter 18,1,573,series/books/book-3/phase-8-editing/MANUSCRIPT.md,c763ad2e71a27d3c3d2685c52e779c9cdc0f014b0557f524c85862343ac9a48b,**Jonah**,He was going hunting.,Margot Vance,,tonight,Resistance medical point / planning room,Margot Vance; Jonah Harrow; resistance leaders; rescued witnesses,Turn witness testimony into a final operational plan.,"Jonah's condition, limited time, Sterling's remaining forces.",Margot identifies the records archive or command nexus as the essential target.,The resistance commits to a final strike objective.,Witness maps reviewed; target selected; teams reorganized.,Margot learns where Sterling keeps the master records and command authority.,She embraces leadership without hiding behind Keeper secrecy.,Jonah defers to Margot's strategic judgment.,"Maps, testimony, and copied records consolidated.",Seize the master archive and expose Sterling completely.,Final confrontation and records-preservation threads.,None.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C18-S02,Book 3,18,Chapter 18,2,428,series/books/book-3/phase-8-editing/MANUSCRIPT.md,7fdc9f31b02b14d5951a8d4dea89d6f6f9d294aecb2594825229080ab668ca49,The hallway smelled of lemon wax and panic. Also gun oil. And fear-sweat.,"He turned and galloped down the main corridor, his claws clicking on the tile, heading for the exit. He hit the glass doors at full speed, shattering them outward, exploding into the cold night air.",Margot Vance,,night,Resistance staging area,Margot Vance; Jonah Harrow; pack; resistance allies,Unify factions for the final operation.,"Distrust between supernatural groups, fear of casualties, Jonah's former office.",Jonah publicly renounces the corrupt enforcement structure and accepts shared command.,The factions agree to fight together.,Coalition address; grievances aired; shared command accepted.,Margot learns the resistance will follow them as a unified coalition.,Jonah's identity shifts fully from sheriff of the system to protector chosen by the community.,Their partnership receives public legitimacy.,"Command tokens, radios, or route assignments distributed.",Coalition unity will be tested in battle.,Leadership and uprising threads.,The resistance-coalition promise receives a major payoff.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C18-S03,Book 3,18,Chapter 18,3,609,series/books/book-3/phase-8-editing/MANUSCRIPT.md,b81f217e16d4db055e826e7854746de44c039f16297524ba8facffa3b94948ff,"The football field was a chaotic mess of snow, light, and violence.",She wasn't safe yet.,Margot Vance,,,Approach to Sterling's command site,Margot Vance; Jonah Harrow; resistance strike teams,Reach the command site undetected.,"Magical surveillance, checkpoints, internal defenses.",The team discovers Sterling has begun destroying records or preparing mass containment.,The operation shifts from planned assault to immediate intervention.,Covert approach; smoke or magical purge signs; emergency breach decision.,They learn Sterling intends to erase evidence and possibly detainees before outside intervention arrives.,Margot accepts that preserving truth may require destroying the institution housing it.,Jonah and Margot make a rapid joint command decision.,Breaching charges or magical tools deployed.,Stop record destruction before the archive is lost.,Final-assault and evidence-preservation threads.,None.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C18-S04,Book 3,18,Chapter 18,4,372,series/books/book-3/phase-8-editing/MANUSCRIPT.md,522b23c720f453a27f3d065626bef03d586f8ea25842ba30c0fcd66dd69d1ea7,He ran.,Aleksei pointed up.,Margot Vance,,,Sterling's command site / records archive,Margot Vance; Jonah Harrow; Arthur Sterling; resistance fighters,Breach the archive and confront Sterling.,"Sterling's guards, magical defenses, active destruction of evidence.",Margot reaches the records while Jonah engages the defense line.,The final confrontation begins with the archive partially secured.,Breach; combat; records rescued; Sterling confronted.,Margot sees the full scale of Sterling's administrative machinery.,"The corruption is revealed as systematic, not the work of one rogue actor.",Their divided roles combine into one final objective.,Master records or archive components enter resistance custody.,Sterling's final defeat and institutional replacement.,"Final confrontation, evidence, and liberation threads.",The master-archive objective receives a partial payoff.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C18-S05,Book 3,18,Chapter 18,5,576,series/books/book-3/phase-8-editing/MANUSCRIPT.md,2c0f918706c6bbf710b4cb6fff294270bf593389aa975cbaacee6f48f3e05b21,The clouds above the mountain were parting.,"""We go to the Archives,"" he commanded. ""We dig in. And then... we shoot that bird out of the sky.""",Jonah Harrow,Immediately after the Emitter's destruction,,Snowfall Creek valley below the ski resort,Jonah Harrow; Margot Vance; Aleksei Petrov; Henderson; gathered Pack and Troll allies,Find a defensible position before the Magisterium gunship attacks.,A Mark IV aerial command platform capable of leveling the town.,Margot identifies the Archives and the Dragon-Killer Ballista as the only plausible defense.,Jonah orders the coalition to fortify the Archives and prepare to shoot down the gunship.,"The command gunship appears; the school is rejected as a soft target; Margot recalls Crate 404 and its gravity-rune ballista; Jonah assigns the Pack, Trolls, and Aleksei as crew.",The group learns the Archives contain a potentially usable anti-air weapon.,Jonah rejects defensive retreat and reframes the Archives as a fortress and weapons platform.,"Jonah and Margot function as complementary commanders, combining tactics and archival knowledge.",Dragon-Killer Ballista is identified but not yet moved; no custody transfer occurs.,The Archives must survive bombardment and the ancient ballista must function.,"Gunship, Archives-defense, and coalition-war threads advance.",None.,source-reconciled-v1.1,"Restored from parser scene B03-C18-S05 and checked directly against the Phase 8 manuscript. The manuscript repeats part of the closing command; preserved as source text, flagged separately for copyediting."
B03-C19-S01,Book 3,19,Chapter 19,1,714,series/books/book-3/phase-8-editing/MANUSCRIPT.md,11836302f242da020d131d0d8330a85222c5205adf52d105e9c94a251eac0b2c,**Shared POV (Margot / Jonah)**,"""The library,"" she said. ""It knows I'm here.""",Shared POV (Margot / Jonah),,,Snowfall Creek main street and alley,Jonah Harrow; Margot Vance; Henderson; Grishka; Aleksei; wolves; Grey Guard; Gunship,Reach the library alive while under Gunship fire.,"Kinetic cannon, Grey Guard troops, exposed streets, wounded allies.",The group reaches the library grounds under covering action.,The survivors arrive at the library perimeter but remain under aerial assault.,Gunship attacks main street; convoy flees through alley; wounded supernatural allies retreat toward library.,Jonah and Margot learn the Gunship can disintegrate structures with a kinetic cannon.,The library becomes the only defensible stronghold.,Jonah and Margot coordinate the retreat as co-commanders.,Weapons and wounded allies carried toward library.,The library must withstand a full military assault.,Grey Guard siege and library-defense threads.,The return-to-library objective begins.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C19-S02,Book 3,19,Chapter 19,2,305,series/books/book-3/phase-8-editing/MANUSCRIPT.md,f748fab434bc0f5f9f5044c41c6d9e994ca73791b2fd2f44f5388792fdbd5759,**Margot**,"""Run!"" Margot dropped her hand, grabbing Jonah's arm. ""Run now!""",Margot Vance,,,Snowfall Creek Archives exterior and entrance,Margot Vance; Jonah Harrow; resistance survivors; Grey Guard,Activate the library's defensive systems.,"Grey Guard assault, Gunship fire, incomplete understanding of the building's war protocols.",Margot connects to the building and triggers its ancient lockdown defenses.,The library awakens as an active defensive structure.,Library communicates with Margot; lockdown systems activate; gargoyle sonic defenses engage.,Margot learns the building's lockdown systems include lethal or incapacitating pest-control defenses.,She accepts the library as an active ally rather than passive setting.,Jonah relies on Margot's Keeper authority for battlefield survival.,No major transfer.,The awakened library may possess additional siege capabilities.,Library-agency and siege-defense threads.,The library's earlier protective behavior receives a major payoff.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C19-S03,Book 3,19,Chapter 19,3,393,series/books/book-3/phase-8-editing/MANUSCRIPT.md,d887b876a279be188d7ef0f00827f2be515715b1422a8b4853042bc31fa926a7,**Shared POV**,"""Everyone on,"" she ordered.",Shared POV,,,Library lawn and lobby,Jonah Harrow; Margot Vance; Aleksei; Henderson; Grishka; wolves; Trolls; Vampires,Get all survivors inside and seal the library.,"Gunship fire, wounded allies, limited time before Grey Guard recovers.",The oak doors seal and the sonic attack is muffled.,The library becomes a temporary bunker.,Survivors cross lawn under fire; all enter; doors and iron deadbolts seal; service hoist is selected.,The group learns the lobby is secure only temporarily and the roof remains vulnerable.,Margot decides conventional stairs are too slow and chooses the service hoist.,The mixed supernatural coalition accepts Margot's direct command.,Wounded survivors moved inside.,They must find a weapon capable of defeating the Gunship.,B4 arsenal and siege threads.,The group successfully reaches shelter.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C19-S04,Book 3,19,Chapter 19,4,580,series/books/book-3/phase-8-editing/MANUSCRIPT.md,4c4e2cf9b6bc8a8e88b6c7d151b88e8d4df4e99cfbd98da61767286021e25ef9,**Jonah**,"""Going up!"" Jonah hit the lever.",Jonah Harrow,,,Service hoist descending to B4 and Vault arsenal,Jonah Harrow; Margot Vance; Grishka; Trolls; Wolves; Vampires,Retrieve a weapon from B4 capable of destroying the Gunship.,"Time pressure, unstable ancient weaponry, enormous weight.",They locate an ancient ballista designed to fire a magical history-lance.,The coalition loads the ballista onto the hoist.,Hoist descends through B1-B3; B4 arsenal opened; Trolls lift ancient ballista.,Jonah learns the Vault contains large-scale anti-siege weapons.,He accepts improvised historical magic as the only viable answer to modern military technology.,Margot's archival knowledge directs Jonah's battlefield decisions.,Ancient ballista transferred from B4 arsenal to service hoist.,The ballista must reach the lobby and fire before the bunker-buster strike.,Gunship-destruction objective.,The hidden-arsenal promise is fulfilled.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C19-S05,Book 3,19,Chapter 19,5,459,series/books/book-3/phase-8-editing/MANUSCRIPT.md,5bfd7b70840176a2308016798c96b9c43b164ccf6a5c9c196301ad0b19e3af1d,**Margot**,It hit the Gunship dead center in the fuel pod.,Margot Vance,,,Library lobby and atrium,Margot Vance; Jonah Harrow; Grishka; Trolls; Aleksei; wolves; Gunship crew,Set up and fire the ballista before the Gunship destroys the library.,"Failing roof, depleted shields, incoming bunker-buster, volatile crystal weapon.",Margot fires as the Gunship launches its main attack.,The history-lance pierces the bunker-buster blast and strikes the Gunship's fuel pod.,Ballista positioned under skylight; gunship aligns overhead; Margot fires magical harpoon.,The coalition learns the ballista's history-lance can pierce modern magical energy defenses.,Margot fully occupies the role of combat Keeper.,Jonah entrusts the decisive shot to Margot.,Ballista discharged; magical harpoon leaves library.,The consequences of destroying or disabling the Gunship.,Siege-defense thread reaches climax.,The Gunship threat receives a major combat payoff.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C20-S01,Book 3,20,Chapter 20,1,1032,series/books/book-3/phase-8-editing/MANUSCRIPT.md,b3be434678fd675440ab355b5ebd9195a9e53c04c9f5d83b8aac9b86b8b6b436,**Margot**,"""Go,"" he whispered. ""Before I decide to burn the fiction section first.""",Margot Vance,,,Library atrium under Grey Guard occupation,Margot Vance; Valerius; unconscious defenders; Grey Guard,Understand the silent takeover and preserve the library.,"Neurotoxin gas, communications blackout, Valerius's occupation force.",Valerius offers Margot a choice between leaving as a refugee or staying as a combatant.,Margot is forced out while the Grey Guard occupies the library.,Green neurotoxin fills atrium; defenders collapse; Valerius reveals Grey Guard control and experimental intent.,Margot learns Valerius intends to treat the library and resistance as a controlled military experiment.,She recognizes the occupation is not negotiation but calculated dehumanization.,Margot's responsibility shifts from defending the building to preserving the people and resistance outside it.,Library control passes to Grey Guard occupation.,Retake or destroy the occupied library before Valerius weaponizes it.,Valerius antagonist and library-loss threads.,The warning that the library could fall receives a devastating payoff.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C20-S02,Book 3,20,Chapter 20,2,396,series/books/book-3/phase-8-editing/MANUSCRIPT.md,1f19f8d17cd27f5d96a330c0fe41e70ce02ac8d53bd89218d88e92edb2cc947a,**Jonah**,And the world shattered into grey static.,Jonah Harrow,,night,Neurotoxin dreamscape,Jonah Harrow; dream-Margot; shadow antagonist,Find Margot within a predatory dream.,"Wolf hunger, fear of losing her, shadow that erases the scent trail.",Jonah catches dream-Margot but she disintegrates into paper.,The dream exposes Jonah's fear that his possessive love will destroy what it protects.,Wolf hunts Margot through iron forest; shadow interferes; Margot becomes pages and ash.,"The reader sees Jonah's deepest fear of possessiveness, loss, and destructive protection.",No waking belief change yet; the dream externalizes his unresolved internal conflict.,The mate bond is represented as both anchor and potential danger.,None; dream symbolism only.,Jonah must distinguish protection from possession.,Self-sacrifice and mate-bond conflict.,The earlier possessiveness concern receives symbolic reinforcement.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C20-S03,Book 3,20,Chapter 20,3,532,series/books/book-3/phase-8-editing/MANUSCRIPT.md,7de46eb234b3bcd39ec853b1f91c77473d289ff04dd309f4d635da526d74e56f,Waking up felt like drowning in gravel.,**The End of Part II**,Jonah Harrow,,,Snowy woods and old logging road outside occupied library,Jonah Harrow; Margot Vance,Escape sniper range and reorganize after the library falls.,"Neurotoxin aftereffects, Grey Guard snipers, loss of stronghold, freezing weather.",Margot invokes Protocol: Wild Hunt.,The pair abandon defensive retreat and commit to burning down the occupation.,Margot drags Jonah to safety; occupied library seen under searchlights; Wild Hunt protocol activated.,Jonah learns Margot has a contingency protocol for total insurgent resistance.,Both shift from holding territory to sabotage and guerrilla war.,Margot physically saves Jonah and assumes strategic initiative.,Radio used to activate Pack protocol.,Protocol Wild Hunt will mobilize the resistance against the occupation.,Retaking or destroying the library.,Escape from the occupied library succeeds.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C21-S01,Book 3,21,Chapter 21,1,474,series/books/book-3/phase-8-editing/MANUSCRIPT.md,4c80e91d875e3a2903a72498627f29e7d57527382a1dddb28ebc60b50f8dd4f6,**Jonah**,He had a meeting in the War Room.,Jonah Harrow,,,Library fortress and Main Street defenses,Jonah Harrow; Grishka; Sarah; Trolls; Wolves; townspeople,Inspect and coordinate the fortified rebellion.,"Expected Grey Guard counterattack, limited time, militia logistics.",Jonah realizes his role has shifted from trench fighter to strategic commander.,He leaves perimeter work for the War Room.,Troll barricades built; wolf trenches dug; town fortified; Jonah recognizes command responsibility.,Jonah learns the rebellion has become a coordinated town-wide defense network.,He accepts that leadership now requires delegation rather than personal front-line control.,Jonah's bond with the community becomes command legitimacy.,Construction material and weapons distributed across defenses.,The fortified town must withstand the Grey Guard legion.,Wild Hunt and siege threads.,Protocol Wild Hunt produces visible mobilization.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C21-S02,Book 3,21,Chapter 21,2,445,series/books/book-3/phase-8-editing/MANUSCRIPT.md,1e0c524d999377afce749a0411c1ab6237b17c134d5117c4b78788c6798a8fde,"The Boiler Room of the Snowfall Creek Archives had always been Jonah's least favorite place. It was cramped, smelled of heating oil, and housed a furnace that looked like it ate children in fairytale books.","""I'm just getting warmed up.""",Jonah Harrow,,,Library boiler room,Jonah Harrow; Margot Vance; Henderson; Fire Elemental,Assess the library's new power source and shield capacity.,"Dangerous elemental energy, risk of Margot burning out.",Henderson reveals the captured Fire Elemental is providing effectively unlimited mana.,The library gains sustainable shield power.,Fire Elemental installed in furnace; ley-line capacitor powered; wards strengthened.,Jonah learns the salvaged elemental can power the library's defenses indefinitely.,Margot accepts deeper integration with the library's war systems.,Jonah grounds Margot with his earth magic and warns her against burnout.,Fire Elemental contained in boiler furnace and connected to ley-line system.,The elemental power source may carry costs or instability.,Fortress-defense and Margot-burnout threads.,Salvage from the Gunship becomes a strategic asset.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C21-S03,Book 3,21,Chapter 21,3,472,series/books/book-3/phase-8-editing/MANUSCRIPT.md,33460036bb4aa35cde57dca6326f121a67d358d8209ea1bbf5ede1c5e200cdb8,The Reading Room had been converted into an armory.,"""My office,"" she said.",Jonah Harrow,,,Library reading-room armory,Jonah Harrow; Margot Vance; Aleksei; resistance fighters,Choose and distribute weapons for the coming siege.,"Cursed artifacts, ethical limits, overwhelming enemy force.",Jonah rejects cursed weapons but authorizes salvaged Magisterium gear and combat grimoires.,The militia is armed under controlled rules of engagement.,"Blade of Silas examined; dark artifacts debated; rifles, armor, and grimoires distributed.",Jonah learns the archive contains powerful but ethically dangerous weapons.,He balances pragmatism with refusal to become indistinguishable from the enemy.,Margot and Jonah share authority over magical and conventional armament.,Rifles to squad leaders; armor to Trolls; combat grimoires assigned.,Dark weapons may become necessary if defenses fail.,Siege preparation and ethical-war threads.,Captured Magisterium weapons are repurposed.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C21-S04,Book 3,21,Chapter 21,4,441,series/books/book-3/phase-8-editing/MANUSCRIPT.md,65d661519737f4a0a75cda5e1083e1bed007694a83498a925d5ef6485e817eab,Margot's office was the only place in the building that still resembled a library.,"""I am what?"" she asked softly.",Jonah Harrow,,,Margot's office / War Room,Jonah Harrow; Margot Vance,Create a viable defense plan against heavy armor.,"Inferior numbers, only one viable bridge route, limited endurance.",Margot asks what the endgame is beyond dying gloriously.,They define delaying actions and preservation contingencies.,Topographic map reviewed; bridge choke point planned; Trolls assigned as living armor; escape and Scroll contingency discussed.,Margot learns Jonah expects only one or two hours against a full armored column.,Jonah confronts the inadequacy of purely military defense.,Margot challenges Jonah's sacrifice logic and asks him to preserve the Scrolls if they lose.,Topographic map and contingency routes used.,"If the fortress falls, the Scrolls must escape through the coal chute.",Final siege and evidence-preservation threads.,None.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C21-S05,Book 3,21,Chapter 21,5,520,series/books/book-3/phase-8-editing/MANUSCRIPT.md,894389ec7d5c9ea322a9fb98fef9395a4ab5399ee349aa86e97c2dea00a6335d,He stepped into her personal space.,Boots.,Jonah Harrow,,night,Margot's office,Jonah Harrow; Margot Vance,Answer what Margot means to Jonah and settle the sacrifice dispute.,"Fear of loss, war pressure, inability to articulate emotional dependence.",Jonah tells Margot she is the anchor and the reason the town is worth saving.,"Jonah explicitly centers Margot above the Scrolls, then the approaching army interrupts them.",Jonah rejects abandoning Margot; declares her his anchor; emotional confession; advancing army detected.,"Margot learns Jonah believes he has been guarding her, not merely the town.",Jonah articulates love-like devotion instead of hiding behind duty.,"The mate bond receives explicit emotional language, though interrupted before full resolution.",None.,Jonah's emotional declaration must be completed or answered.,Relationship-resolution thread.,The anchor motif receives a major emotional payoff.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C21-S06,Book 3,21,Chapter 21,6,575,series/books/book-3/phase-8-editing/MANUSCRIPT.md,a312d52c4607c001b4e219a8826af908110573fd283e8eadbc21360976e828fd,It wasn't a tank column.,"""If he wants to burn it down,"" the Sheriff said, ""let's show him what a real fire looks like.""",Jonah Harrow,,,Library office window and town bridge,Jonah Harrow; Margot Vance; Valerius; Grey Guard; townspeople,Assess the approaching enemy and decide whether to surrender.,"Five hundred anti-magic Grey Guard, silver pikes, flamethrowers, Valerius's ultimatum.",The town collectively rejects surrender.,Jonah orders Margot to retrieve the largest siege grimoire.,Grey Guard legion crosses bridge; anti-magic phalanx revealed; Valerius demands surrender; town answers with armed defiance.,"Jonah and Margot learn Valerius brought anti-magic infantry designed specifically for Wolves, Trolls, and magical defenses.",The rebellion confirms it will fight despite impossible odds.,Jonah and Margot move together into final-siege command.,Naval binoculars used; large siege grimoire requested.,The Grey Guard siege will begin immediately.,"Final siege, Valerius confrontation, and fortress-defense threads.",The Wild Hunt coalition publicly refuses surrender.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C22-S01,Book 3,22,Chapter 22,1,574,series/books/book-3/phase-8-editing/MANUSCRIPT.md,d88280be721ca5f36ce648261e268567bcf852c8cfe73b65cfab491a596c32b5,**Shared POV (Jonah / Margot)**,They were cutting through the lock.,Shared POV (Jonah / Margot),,,Library front lawn trench line,Jonah Harrow; Margot Vance; Grey Guard; resistance defenders,Hold the trench line against the first Grey Guard assault.,"Anti-magic infantry, silver weapons, flamethrowers, and disciplined formation tactics.",The defenders fall back inside as the Grey Guard cuts through the outer defense.,The first assault breaches the lawn defenses and reaches the library doors.,Grey Guard advances; trench defense collapses; wounded defenders retreat; plasma cutter attacks the oak doors.,The defenders learn the Grey Guard can neutralize many magical attacks through anti-magic formation discipline.,Jonah accepts the outer line cannot hold and shifts to interior defense.,Jonah and Margot coordinate the retreat under fire.,Wounded allies and weapons moved inside.,The library doors and interior traps must stop the breach.,Grey Guard siege and fortress-defense threads.,The Grey Guard's anti-magic threat is demonstrated.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C22-S02,Book 3,22,Chapter 22,2,333,series/books/book-3/phase-8-editing/MANUSCRIPT.md,0124c94084074dd0cb0d23314e7b5f435d0f3b5bfbfd68512729f9fa68bd3043,**Margot**,She pulled the lever.,Margot Vance,,,Library lobby,Margot Vance; Jonah Harrow; Aleksei; Grey Guard vanguard,Prepare an interior trap before the Grey Guard enters.,"Doors burning through, limited time, enemy numbers.",Margot waits until the entire vanguard stands on the atrium mosaic.,She triggers the library's Escher-floor trap.,Oak doors glow from plasma cutter; Grey Guard breaches; Margot positions defenders and prepares floor mechanism.,Margot confirms the Grey Guard will enter in disciplined mass formation.,She chooses architectural manipulation over direct force.,Jonah trusts Margot's control of the building's systems.,Trap controls activated.,The Escher trap must contain or neutralize the vanguard.,Library-defense and architectural-magic threads.,None.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
B03-C22-S03,Book 3,22,Chapter 22,3,307,series/books/book-3/phase-8-editing/MANUSCRIPT.md,ec61da28f4ba5fca484a9c00623823615bfcc5fb327a01687dc3970cb5e3ec2e,**Shared POV**,"""Let them come,"" Margot whispered. ""I have plenty of room.""",Shared POV,,,Library atrium Escher pit,Margot Vance; Jonah Harrow; Grey Guard vanguard; Valerius,Use the folded floor to remove the Grey Guard vanguard.,Enemy reserves and uncertain trap capacity.,The mosaic floor unfolds and gravity drops the soldiers into an impossible recursive pit.,The first vanguard is contained and Valerius pauses the assault.,Floor rotates; gravity follows; Grey Guard falls into paradox space; Valerius orders reserves.,The defenders learn the Escher mechanism can trap a large disciplined force.,Margot sees the building can still outthink modern siege doctrine.,The defenders rally around Margot's tactical success.,Grey Guard vanguard displaced into dimensional containment.,Valerius will answer the trap with a different weapon.,Valerius escalation and library-defense threads.,The Escher-floor defense receives a major payoff.,human-validated-v0.1,Validated directly against Phase 8 manuscript.
